chapter,question_number,question_text,keywords
1,1,"""Do you need these for deep learning?\n\n- Lots of math T / F\n   - Lots of data T / F\n   - Lots of expensive computers T / F\n   - A PhD T / F""","""deep learning, math, data, computers, PhD"""
1,2,"""Name five areas where deep learning is now the best in the world""","deep learning, areas, best, world"
1,3,"""What was the name of the first device that was based on the principle of the artificial neuron?""","""neuron, neurons, device, artificial, principle"""
1,4,"""Based on the book of the same name, what are the requirements for parallel distributed processing (PDP)?""","""parallel, distributed, processing, PDP, requirements, book"""
1,5,"""What were the two theoretical misunderstandings that held back the field of neural networks?""","""neural, networks, theoretical, misunderstandings, field"""
1,6,"""What is a GPU?""","""GPU, graphics, processor, processors, computing, hardware"""
1,7,"""Open a notebook and execute a cell containing: 1+1. What happens?""","""notebook, execute, cell, calculation, result"""
1,10,"""Why is it hard to use a traditional computer program to recognize images in a photo?""","""computer, computers, image, images, recognition, photo, photos"""
1,11,"""What did Samuel mean by ""weight assignment""?""","""Samuel, weight, weights, assignment, assignments"""
1,12,"""What term do we normally use in deep learning for what Samuel called ""weights""?""","deep learning, weights, Samuel, term"
1,14,"""Why is it hard to understand why a deep learning model makes a particular prediction?""","""deep learning, model, prediction, understand, predictions"""
1,15,"""What is the name of the theorem that shows that a neural network can solve any mathematical problem to any level of accuracy?""","""theorem, neural, network, networks, mathematical, problem, accuracy"""
1,16,"""What do you need in order to train a model?""","""train, model, training, models, dataset, data"""
1,17,"""How could a feedback loop impact the rollout of a predictive policing model?""","""feedback, loop, rollout, predictive, policing, model, models"""
1,18,"""Do we always have to use 224×224-pixel images with the cat recognition model?""","""cat, cats, recognition, model, image, images, pixel, pixels"""
1,19,"""What is the difference between classification and regression?""","""classification, regression, difference, differences, machine learning, models"""
1,20,"""What is a validation set? What is a test set? Why do we need them?""","""validation, test, set, sets, need, purpose"""
1,21,"""What will fastai do if you don't provide a validation set?""","""fastai, validation, set, datasets"""
1,22,"""Can we always use a random sample for a validation set? Why or why not?""","""random, sample, samples, validation, set, sets"""
1,23,"""What is overfitting? Provide an example.""","""overfitting, overfit, example, model, data, machine learning"""
1,24,"""What is a metric? How does it differ from ""loss""?""","""metric, metrics, loss, differ, difference, measurement"""
1,25,"""How can pretrained models help?""","""pretrained, models, help, pretraining, model"""
1,26,"""What is the ""head"" of a model?""","head, model, models"
1,27,"""What kinds of features do the early layers of a CNN find? How about the later layers?""","""CNN, layers, features, early, later"""
1,28,"""Are image models only useful for photos?""","""image, images, model, models, photo, photos"""
1,29,"""What is an ""architecture""?""","""architecture, architectures, design, structure, building"""
1,30,"""What is segmentation?""","""segmentation, segment, segments, divide, division, categorize"""
1,31,"""What is y_range used for? When do we need it?""","""y_range, range, purpose, usage, need"""
1,32,"""What are ""hyperparameters""?""","""hyperparameters, hyperparameter, machine learning, model, tuning, optimization"""
1,33,"""What's the best way to avoid failures when using AI in an organization?""","""AI, failures, avoid, organization, organizations"""
2,1,"""Provide an example of where the bear classification model might work poorly in production, due to structural or style differences in the training data.""","""bear, classification, model, production, training, data, structural, style, differences"""
2,2,"""Where do text models currently have a major deficiency?""","""text, models, deficiency, deficiencies, limitation, limitations"""
2,3,"""What are possible negative societal implications of text generation models?""","""text, generation, models, societal, implications, negative"""
2,4,"""In situations where a model might make mistakes, and those mistakes could be harmful, what is a good alternative to automating a process?""","""mistakes, harmful, automation, alternatives, processes, models"""
2,5,"""What kind of tabular data is deep learning particularly good at?""","""deep learning, tabular data, data types, neural networks, machine learning"""
2,6,"""What's a key downside of directly using a deep learning model for recommendation systems?""","""downside, deep learning, model, recommendation, systems, recommendations"""
2,7,"""What are the steps of the Drivetrain Approach?""","""drivetrain, approach, steps, process, methodology"""
2,8,"""How do the steps of the Drivetrain Approach map to a recommendation system?""","""drivetrain, approach, steps, recommendation, system, systems"""
2,10,"""What is `DataLoaders`?""","""DataLoaders, DataLoader, data, loading, dataset"""
2,11,"""What four things do we need to tell fastai to create `DataLoaders`?""","""fastai, DataLoaders, create, things, need"""
2,12,"""What does the `splitter` parameter to `DataBlock` do?""","""splitter, DataBlock, parameter, function, data"""
2,13,"""How do we ensure a random split always gives the same validation set?""","""random, split, validation, set, ensure"""
2,14,"""What letters are often used to signify the independent and dependent variables?""","""letters, independent, dependent, variables, signify"""
2,15,"""What's the difference between the crop, pad, and squish resize approaches? When might you choose one over the others?""","""crop, pad, squish, resize, approaches, differences"""
2,16,"""What is data augmentation? Why is it needed?""","""data, augmentation, augmentations, need, purpose, technique"""
2,17,"""What is the difference between `item_tfms` and `batch_tfms`?""","""item_tfms, batch_tfms, difference, transforms, transformations"""
2,18,"""What is a confusion matrix?""","""confusion, matrix, matrices, classification, accuracy, prediction"""
2,19,"""What does `export` save?""","""export, save, variable, variables, environment"""
2,20,"""What is it called when we use a model for getting predictions, instead of training?""","""model, prediction, predictions, inference, inferencing, training"""
2,21,"""What are IPython widgets?""","""IPython, widget, widgets, interactive, GUI"""
2,22,"""When might you want to use CPU for deployment? When might GPU be better?""","""CPU, GPU, deployment, hardware, processing, performance"""
2,23,"""What are the downsides of deploying your app to a server, instead of to a client (or edge) device such as a phone or PC?""","""downsides, deploying, app, server, client, edge, device, phone, PC"""
2,24,"""What are three examples of problems that could occur when rolling out a bear warning system in practice?""","""bear, warning, system, problems, rollout, examples"""
2,25,"""What is ""out-of-domain data""?""","""out-of-domain, data, domain"""
2,26,"""What is ""domain shift""?""","""domain, shift, domains, shifts"""
2,27,"""What are the three steps in the deployment process?""","""deployment, process, steps"""
4,2,"""How are the files and folders in the MNIST_SAMPLE dataset structured? Why?""","""MNIST_SAMPLE, files, folders, structure, dataset, organization"""
4,3,"""Explain how the ""pixel similarity"" approach to classifying digits works.""","pixel, pixels, similarity, classifying, digits, classification"
4,4,"""What is a list comprehension? Create one now that selects odd numbers from a list and doubles them.""","""comprehension, list, odd, numbers, double"""
4,5,"""What is a ""rank-3 tensor""?""","tensor, tensors, rank, rank-3, mathematics, linear algebra"
4,6,"""What is the difference between tensor rank and shape? How do you get the rank from the shape?""","""tensor, rank, shape, difference, dimensions"""
4,7,"""What are RMSE and L1 norm?""","""RMSE, L1, norm, norms, error, metric"""
4,8,"""How can you apply a calculation on thousands of numbers at once, many thousands of times faster than a Python loop?""","""calculation, numbers, thousands, faster, Python, loop"""
4,10,"""What is broadcasting?""","""broadcasting, broadcast, transmission, media, communication"""
4,11,"""Are metrics generally calculated using the training set, or the validation set? Why?""","""metrics, calculated, training, validation, set, sets"""
4,12,"""What is SGD?""","""SGD, stochastic, gradient, descent, optimization, algorithm"""
4,13,"""Why does SGD use mini-batches?""","""SGD, mini-batches, minibatches, stochastic, gradient, descent"""
4,14,"""What are the seven steps in SGD for machine learning?""","""SGD, steps, machine, learning, gradient, descent"""
4,15,"""How do we initialize the weights in a model?""","""initialize, weights, model, models, initialization"""
4,16,"""What is ""loss""?""","""loss, losses, definition, meaning, concept"""
4,17,"""Why can't we always use a high learning rate?""","""learning, rate, high, rates"""
4,18,"""What is a ""gradient""?""","""gradient, gradients, slope, change, rate"""
4,19,"""Do you need to know how to calculate gradients yourself?""","""calculate, gradient, gradients"""
4,20,"""Why can't we use accuracy as a loss function?""","""accuracy, loss, function, functions"""
4,22,"""What is the difference between a loss function and a metric?""","""loss, function, functions, metric, metrics, difference"""
4,23,"""What is the function to calculate new weights using a learning rate?""","""function, calculate, weight, weights, learning, rate"""
4,24,"""What does the DataLoader class do?""","""DataLoader, class, data, loading"""
4,27,"""What does view do in PyTorch?""","""view, PyTorch, tensor, reshape, dimension, dimensions"""
4,28,"""What are the ""bias"" parameters in a neural network? Why do we need them?""","""bias, biases, neural, network, networks, parameters"""
4,29,"""What does the @ operator do in Python?""","""operator, @, Python, decorator, decorators"""
4,30,"""What does the backward method do?""","""backward, method, function, algorithm, programming"""
4,31,"""Why do we have to zero the gradients?""","""zero, zeroing, gradient, gradients, optimization"""
4,32,"""What information do we have to pass to Learner?""","""information, learner, pass"""
4,34,"""What is ""ReLU""? Draw a plot of it for values from -2 to +2.""","""ReLU, activation, function, plot, neural, networks"""
4,35,"""What is an ""activation function""?""","""activation, function, functions, neural, networks"""
4,36,"""What's the difference between F.relu and nn.ReLU?""","""relu, ReLU, F.relu, nn.ReLU, difference, activation"""
4,37,"""The universal approximation theorem shows that any function can be approximated as closely as needed using just one nonlinearity. So why do we normally use more?""","""universal, approximation, theorem, function, functions, nonlinearity, nonlinearities"""
8,1,"""What problem does collaborative filtering solve?""","""collaborative, filtering, problem, solve, recommender, systems"""
8,3,"""Why might a collaborative filtering predictive model fail to be a very useful recommendation system?""","""collaborative, filtering, predictive, model, recommendation, system, fail"""
8,6,"""What is a latent factor? Why is it ""latent""?""","""latent, factor, factors, hidden, unobservable, underlying"""
8,7,"""What is a dot product? Calculate a dot product manually using pure Python with lists.""","""dot, product, products, calculate, Python, lists"""
8,9,"""What is an embedding matrix?""","""embedding, matrix, matrices, embeddings"""
8,10,"""What is the relationship between an embedding and a matrix of one-hot-encoded vectors?""","""embedding, matrix, one-hot, vector, vectors, encoding"""
8,11,"""Why do we need Embedding if we could use one-hot-encoded vectors for the same thing?""","""embedding, embeddings, one-hot-encoded, vectors, encoding"""
8,12,"""What does an embedding contain before we start training (assuming we're not using a pretained model)?""","""embedding, embeddings, training, pretrained, model, models"""
8,14,"""What does x[:,0] return?""","""x, indexing, slicing, array, column"""
8,15,"""Rewrite the DotProduct class (without peeking, if possible!) and train a model with it.""","""dotproduct, class, rewrite, train, model"""
8,16,"""What is a good loss function to use for MovieLens? Why?""","""loss, function, MovieLens, recommendation, rating, error"""
8,18,"""What is the use of bias in a dot product model?""","""bias, dot product, model, models, use"""
8,19,"""What is another name for weight decay?""","""weight, decay, regularization, l2"""
8,20,"""Write the equation for weight decay (without peeking!).""","""equation, weight, decay, weights"""
8,21,"""Write the equation for the gradient of weight decay. Why does it help reduce weights?""","""equation, gradient, weight, weights, decay, reduce"""
8,22,"""Why does reducing weights lead to better generalization?""","""reducing, weights, generalization, weight, reduction, performance"""
8,24,"""Does sorting the movie biases give the same result as averaging overall movie ratings by movie? Why/why not?""","""sorting, biases, averaging, ratings, movies"""
8,25,"""How do you print the names and details of the layers in a model?""","""print, names, details, layers, model, models"""
8,26,"""What is the ""bootstrapping problem"" in collaborative filtering?""","bootstrapping, problem, collaborative, filtering, recommender, systems"
8,27,"""How could you deal with the bootstrapping problem for new users? For new movies?""","""bootstrapping, users, movies, new"""
8,28,"""How can feedback loops impact collaborative filtering systems?""","""feedback, loops, impact, collaborative, filtering, systems"""
8,29,"""When using a neural network in collaborative filtering, why can we have different numbers of factors for movies and users?""","""neural, networks, collaborative, filtering, factors, movies, users"""
8,31,"""What kind of model should we use if we want to add metadata about users and items, or information such as date and time, to a collaborative filtering model?""","""model, metadata, users, items, date, time, collaborative, filtering"""
9,1,"""What is a continuous variable?""","""continuous, variable, variables"""
9,2,"""What is a categorical variable?""","""categorical, variable, variables, statistics, data"""
9,3,"""Provide two of the words that are used for the possible values of a categorical variable.""","""categorical, variable, values"""
9,4,"""What is a ""dense layer""?""","""dense, layer, layers, neural, network, deep"""
9,6,"""What kinds of datasets are entity embeddings especially useful for?""","""entity, entities, embedding, embeddings, dataset, datasets"""
9,7,"""What are the two main families of machine learning algorithms?""","""machine, learning, algorithms, families"""
9,8,"""Why do some categorical columns need a special ordering in their classes? How do you do this in Pandas?""","""categorical, columns, ordering, classes, pandas"""
9,9,"""Summarize what a decision tree algorithm does.""","""decision, tree, algorithm, summarize, classification, prediction"""
9,10,"""Why is a date different from a regular categorical or continuous variable, and how can you preprocess it to allow it to be used in a model?""","""date, categorical, continuous, variable, preprocessing, model"""
9,11,"""Should you pick a random validation set in the bulldozer competition? If no, what kind of validation set should you pick?""","""bulldozer, competition, validation, random, dataset, selection"""
9,12,"""What is pickle and what is it useful for?""","""pickle, pickles, serialization, deserialization, python"""
9,13,"""How are mse, samples, and values calculated in the decision tree drawn in this chapter?""","""mse, samples, values, decision, tree, calculated, calculation"""
9,14,"""How do we deal with outliers, before building a decision tree?""","""outliers, outlier, decision, tree, trees"""
9,15,"""How do we handle categorical variables in a decision tree?""","""categorical, variables, decision, tree, handling"""
9,16,"""What is bagging?""","""bagging, ensemble, machine learning, sampling, bootstrap, aggregation"""
9,17,"""What is the difference between max_samples and max_features when creating a random forest?""","""random forest, max_samples, max_features, difference, sampling, features"""
9,18,"""If you increase n_estimators to a very high value, can that lead to overfitting? Why or why not?""","""n_estimators, overfitting, increase, high"""
9,20,"""What is ""out-of-bag-error""?""","""out-of-bag-error, out-of-bag, error, bagging, machine learning, statistics"""
9,21,"""Make a list of reasons why a model's validation set error might be worse than the OOB error. How could you test your hypotheses?""","""model, validation, error, OOB, hypothesis, testing"""
9,23,"""What's the purpose of removing unimportant variables?""","""purpose, removing, unimportant, variables, variable"""
9,24,"""What's a good type of plot for showing tree interpreter results?""","""plot, plots, tree, interpreter, results, visualization"""
9,25,"""What is the ""extrapolation problem""?""","""extrapolation, problem, problems, prediction, forecasting"""
9,26,"""How can you tell if your test or validation set is distributed in a different way than your training set?""","""test, validation, set, distribution, training, dataset"""
9,27,"""Why do we ensure saleElapsed is a continuous variable, even although it has less than 9,000 distinct values?""","""saleElapsed, continuous, variable, distinct, values"""
9,28,"""What is ""boosting""?""","""boosting, boost, ranking, relevance, search"""
9,29,"""How could we use embeddings with a random forest? Would we expect this to help?""","""embeddings, random forest, forests, machine learning, algorithms"""
9,30,"""Why might we not always use a neural net for tabular modeling?""","""neural, nets, networks, tabular, modeling, models"""
10,1,"""What is ""self-supervised learning""?""","""self-supervised, learning, machine, AI, neural, networks"""
10,2,"""What is a ""language model""?""","""language, model, models, AI, artificial, intelligence"""
10,3,"""Why is a language model considered self-supervised?""","""language, model, models, self-supervised, supervised"""
10,4,"""What are self-supervised models usually used for?""","""self-supervised, models, uses, applications, purposes"""
10,5,"""Why do we fine-tune language models?""","""fine-tune, fine-tuning, language, models, model"""
10,6,"""What are the three steps to create a state-of-the-art text classifier?""","""text, classifier, state-of-the-art, steps, create"""
10,7,"""How do the 50,000 unlabeled movie reviews help us create a better text classifier for the IMDb dataset?""","""movie, movies, review, reviews, classifier, IMDb, unlabeled, dataset"""
10,8,"""What are the three steps to prepare your data for a language model?""","""steps, prepare, data, language, model, models"""
10,9,"""What is ""tokenization""? Why do we need it?""","""tokenization, tokenizations, tokens, token, parsing, processing"""
10,10,"""Name three different approaches to tokenization.""","tokenization, approaches, methods, techniques, tokens"
10,11,"""What is xxbos?""","""xxbos, acronym, abbreviation, meaning"""
10,12,"""List four rules that fastai applies to text during tokenization.""","""rules, fastai, text, tokenization, tokens"""
10,13,"""Why are repeated characters replaced with a token showing the number of repetitions and the character that's repeated?""","""characters, repeated, repetitions, token, replaced, compression"""
10,14,"""What is ""numericalization""?""","""numericalization, numericalizations, numeric, conversion, encoding"""
10,15,"""Why might there be words that are replaced with the ""unknown word"" token?""","""words, unknown, token, replaced"""
10,17,"""Why do we need padding for text classification? Why don't we need it for language modeling?""","""padding, text, classification, language, modeling, need"""
10,19,"""What is ""perplexity""?""","""perplexity, perplexities, confusion, uncertainty, ambiguity"""
10,20,"""Why do we have to pass the vocabulary of the language model to the classifier data block?""","""vocabulary, language, model, classifier, data, block"""
10,21,"""What is ""gradual unfreezing""?""","""gradual, unfreezing, unfreeze, freezing, freeze"""
10,22,"""Why is text generation always likely to be ahead of automatic identification of machine-generated texts?""","""text, generation, automatic, identification, machine-generated, texts"""
13,1,"""What is a ""feature""?""","""feature, features, characteristic, attribute, trait"""
13,4,"""What is the value of a convolutional kernel apply to a 3×3 matrix of zeros?""","""convolutional, kernel, matrix, zeros, value"""
13,5,"""What is ""padding""?""","""padding, paddings, cushion, cushions, fill, filler"""
13,6,"""What is ""stride""?""","""stride, strides, gait, walking, running"""
13,8,"""What are the shapes of the input and weight parameters to PyTorch's 2D convolution?""","""convolution, pytorch, shape, input, weight, parameters"""
13,9,"""What is a ""channel""?""","""channel, channels, communication, media"""
13,10,"""What is the relationship between a convolution and a matrix multiplication?""","""convolution, matrix, multiplication, matrices, relationship"""
13,11,"""What is a ""convolutional neural network""?""","convolutional, neural, network, networks, CNN, deep learning"
13,12,"""What is the benefit of refactoring parts of your neural network definition?""","""refactoring, neural, network, benefits, optimization"""
13,13,"""What is Flatten? Where does it need to be included in the MNIST CNN? Why?""","""flatten, MNIST, CNN, layer, neural, network"""
13,14,"""What does ""NCHW"" mean?""","""NCHW, format, data, layout, tensor, dimensions"""
13,15,"""Why does the third layer of the MNIST CNN have 7*7*(1168-16) multiplications?""","""MNIST, CNN, layer, layers, multiplication, multiplications"""
13,16,"""What is a ""receptive field""?""","receptive, field, fields, neuron, neurons, visual"
13,17,"""What is the size of the receptive field of an activation after two stride 2 convolutions? Why?""","""receptive, field, activation, stride, convolution, convolutions, size"""
13,20,"""How is a color image represented as a tensor?""","""color, image, images, tensor, representation, represented"""
13,21,"""How does a convolution work with a color input?""","""convolution, color, input, inputs, image, images"""
13,22,"""What method can we use to see that data in DataLoaders?""","""method, data, dataloaders, dataloader, view, visualize"""
13,23,"""Why do we double the number of filters after each stride-2 conv?""","""filters, double, stride, conv, convolution"""
13,24,"""Why do we use a larger kernel in the first conv with MNIST (with simple_cnn)?""","""kernel, conv, MNIST, simple_cnn, larger"""
13,25,"""What information does ActivationStats save for each layer?""","""ActivationStats, layer, information, layers, save, saves"""
13,26,"""How can we access a learner's callback after training?""","""access, learner, learners, callback, callbacks, training"""
13,28,"""Why are activations near zero problematic?""","""activation, activations, zero, problematic"""
13,29,"""What are the upsides and downsides of training with a larger batch size?""","""batch, batches, size, sizes, training, upsides, downsides"""
13,30,"""Why should we avoid using a high learning rate at the start of training?""","""learning, rate, training, avoid, high"""
13,31,"""What is 1cycle training?""","""cycle, training, 1cycle, learning, rate"""
13,32,"""What are the benefits of training with a high learning rate?""","""learning, rate, training, benefits, high"""
13,33,"""Why do we want to use a low learning rate at the end of training?""","""learning, rate, training, end"""
13,34,"""What is ""cyclical momentum""?""","cyclical, momentum, cycle, cycles, market, markets"
13,35,"""What callback tracks hyperparameter values during training (along with other information)?""","""callback, hyperparameter, hyperparameters, training, track, tracks"""
13,36,"""What does one column of pixels in the color_dim plot represent?""","""column, columns, pixel, pixels, color_dim, plot"""
13,37,"""What does ""bad training"" look like in color_dim? Why?""","""bad, training, color_dim, colors, dimensions"""
13,38,"""What trainable parameters does a batch normalization layer contain?""","""batch, normalization, layer, trainable, parameters"""
13,39,"""What statistics are used to normalize in batch normalization during training? How about during validation?""","""statistics, normalize, batch, normalization, training, validation"""
13,40,"""Why do models with batch normalization layers generalize better?""","""models, batch, normalization, layers, generalization, generalize"""